Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
best places to visit in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
places to travel in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
places to visit in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
tourist places in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
best cities to visit in spain,Country PLP,Spain,Urban destinations,12100,-18%,-45%,Low,14800,18100,12100,12100,12100,9900,9900,8100,8100,12100,9900,9900
spain places to visit,Country PLP,Spain,Places & destinations,5400,-18%,-18%,Low,8100,8100,6600,5400,5400,5400,5400,4400,4400,6600,5400,5400
top places to visit in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Medium,1900,1900,1600,1600,1600,1300,1300,1000,1000,1900,1600,1600
things to do in spain,Country PLP,Spain,Activities & experiences,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
spain holiday destinations,Country PLP,Spain,Trip types & holidays,3600,0%,-33%,Medium,5400,5400,5400,5400,3600,2900,2400,1900,1900,3600,2900,3600
best beaches in spain,Country PLP,Spain,Beaches & coast,12100,22%,-18%,Low,18100,22200,22200,18100,12100,8100,6600,5400,5400,12100,9900,14800
visit spain,Country PLP,Spain,Places & destinations,2900,-19%,-34%,Medium,3600,3600,3600,3600,2900,2900,2900,2400,1900,3600,2400,2900
spain tourist attractions,Country PLP,Spain,Sightseeing & landmarks,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
spain destinations,Country PLP,Spain,Places & destinations,1300,23%,-16%,Low,1600,1900,1600,1600,1000,1300,1300,880,880,1300,1300,1600
southern spain itinerary,Country PLP,Spain,Itineraries & road trips,1000,-23%,-47%,Low,1600,1300,1300,1000,1000,1300,1000,880,880,1300,1000,1000
best places to go in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
places to go in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
best places to visit in spain for first timers,Country PLP,Spain,Practical planning,880,-12%,-32%,Medium,1000,1000,880,880,720,720,590,480,480,1000,880,880
best places in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best places in spain for holiday,Country PLP,Spain,Trip types & holidays,1900,0%,-45%,Medium,2900,2900,2900,2400,1900,1300,880,590,720,1600,1600,1600
places to see in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
best holiday destinations in spain for families,Country PLP,Spain,Trip types & holidays,390,-19%,-34%,Medium,480,480,480,390,320,260,320,140,210,480,390,390
best family holidays in spain,Country PLP,Spain,Trip types & holidays,720,-33%,-41%,Medium,1000,1000,880,880,720,480,720,260,390,880,590,590
best holiday destinations in spain for couples,Country PLP,Spain,Trip types & holidays,140,21%,-35%,Medium,210,210,210,170,110,110,70,50,40,140,140,170
spain vacation spots,Country PLP,Spain,Trip types & holidays,880,0%,-32%,Medium,1300,1300,1000,1000,880,880,720,590,590,880,880,880
things to see in spain,Country PLP,Spain,Sightseeing & landmarks,18100,-18%,0%,Low,18100,22200,14800,12100,12100,14800,22200,18100,18100,22200,14800,18100
best things to do in spain,Country PLP,Spain,Activities & experiences,1300,0%,-19%,Medium,1600,1900,1300,1300,1000,1300,1000,1000,880,1300,1000,1300
spain best places to visit,Country PLP,Spain,Places & destinations,2900,0%,0%,Medium,2900,3600,3600,3600,2900,2400,2400,1900,1900,2900,2900,2900
10 best places to visit in spain,Country PLP,Spain,Places & destinations,2400,-21%,-34%,Low,2900,2900,2400,1900,1900,2400,1900,1600,1600,2400,1900,1900
best holiday destinations in spain,Country PLP,Spain,Trip types & holidays,1900,0%,-45%,Medium,2900,2900,2900,2400,1900,1300,880,590,720,1600,1600,1600
holiday places in spain,Country PLP,Spain,Trip types & holidays,3600,0%,-33%,Medium,5400,5400,5400,5400,3600,2900,2400,1900,1900,3600,2900,3600
best place in spain for family holiday,Country PLP,Spain,Trip types & holidays,260,0%,-33%,Medium,390,390,320,320,320,260,210,110,170,320,260,320
spain attractions,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
cities to visit in spain,Country PLP,Spain,Urban destinations,1600,-16%,-33%,Low,2400,2400,1900,1900,1600,1600,1300,1300,1300,1900,1600,1600
must see in spain,Country PLP,Spain,Sightseeing & landmarks,1300,-38%,-47%,Medium,1600,1900,1600,1300,1300,1600,1000,1000,1000,1600,1000,1000
spain cities to visit,Country PLP,Spain,Urban destinations,1900,-16%,-33%,Low,2400,2400,1900,1900,1900,1600,1600,1300,1300,1900,1600,1600
southern spain holiday destinations,Country PLP,Spain,Regional exploration,260,22%,22%,Medium,260,260,170,210,260,210,260,140,140,320,320,390
solo travel spain,Country PLP,Spain,Trip types & holidays,880,0%,-55%,Medium,1300,1600,1600,1000,720,590,480,590,590,720,590,720
best places to go in spain for couples,Country PLP,Spain,Trip types & holidays,110,-36%,-36%,Medium,140,140,140,110,140,90,90,40,40,140,140,90
must see places in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
beautiful places in spain by the sea,Country PLP,Spain,Places & destinations,210,0%,-19%,Low,260,260,260,260,210,210,210,170,140,210,260,210
best places to see in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best trips to spain,Country PLP,Spain,Places & destinations,140,-21%,-48%,Medium,170,210,140,110,110,110,90,90,110,140,140,110
mainland spain holiday destinations,Country PLP,Spain,Regional exploration,110,0%,-19%,Medium,170,140,140,110,140,70,70,70,50,170,140,170
solo trip to spain,Country PLP,Spain,Places & destinations,880,0%,-55%,Medium,1300,1600,1600,1000,720,590,480,590,590,720,590,720
vacation in spain 2023,Country PLP,Spain,Trip types & holidays,0,0%,0%,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
cheap places to go in spain,Country PLP,Spain,Budget & value,210,24%,-19%,Medium,260,320,320,320,170,140,170,90,70,210,210,260
top things to do in spain,Country PLP,Spain,Activities & experiences,880,-28%,-45%,Medium,1000,1300,880,880,720,880,720,590,720,1000,720,720
weekend trip to spain,Country PLP,Spain,Places & destinations,1300,0%,-19%,Medium,1600,1900,1300,1600,1300,1000,1600,480,590,1300,1300,1300
best spain itinerary,Country PLP,Spain,Itineraries & road trips,320,-46%,-56%,Medium,390,390,390,320,260,210,210,210,210,390,260,210
best way to see spain,Country PLP,Spain,Places & destinations,70,-44%,-44%,High,70,90,90,90,70,50,50,50,50,90,70,50
best spain destinations,Country PLP,Spain,Places & destinations,260,23%,-33%,Medium,480,390,390,320,260,170,170,140,170,260,260,320
popular holiday destinations in spain,Country PLP,Spain,Trip types & holidays,390,0%,0%,Medium,480,480,480,480,390,320,260,320,210,390,320,390
best places to visit in spain for young adults,Country PLP,Spain,Places & destinations,110,0%,-65%,Low,260,210,210,140,140,90,50,50,50,90,90,90
southern spain destinations,Country PLP,Spain,Regional exploration,390,-19%,23%,Medium,320,320,390,390,390,480,390,320,260,590,480,480
famous places in spain,Country PLP,Spain,Sightseeing & landmarks,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
best places to travel in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best places to go on holiday in spain,Country PLP,Spain,Trip types & holidays,210,0%,-33%,Medium,320,320,260,260,170,140,90,90,90,260,210,260
places in spain to go on holiday,Country PLP,Spain,Trip types & holidays,90,0%,-21%,Medium,140,110,140,140,70,70,50,30,50,110,90,110
best spain vacation packages,Country PLP,Spain,Trip types & holidays,90,-21%,-21%,Medium,110,110,90,70,50,50,40,70,110,140,140,110
best spain destinations for families,Country PLP,Spain,Places & destinations,110,-21%,-35%,Medium,210,140,110,110,140,70,110,50,70,140,90,110
holiday destinations in spain for families,Country PLP,Spain,Trip types & holidays,110,0%,-35%,Medium,110,140,170,140,90,50,70,50,50,110,90,110
places to go on holiday in spain,Country PLP,Spain,Trip types & holidays,210,24%,-19%,Medium,320,390,260,260,140,140,90,70,90,210,170,260
best tours of southern spain,Country PLP,Spain,Regional exploration,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
spain in october where to go,Country PLP,Spain,Seasonality & weather,140,0%,-56%,Medium,170,210,210,260,260,260,110,10,10,40,50,40
best beach holiday destinations in spain,Country PLP,Spain,Beaches & coast,110,-18%,-18%,Medium,210,170,170,170,110,70,50,50,50,170,110,140
unique places to visit in spain,Country PLP,Spain,Places & destinations,210,-19%,-56%,Low,320,390,260,210,210,210,140,110,110,210,210,170
