Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
barcelona stores,City PDP,Barcelona,Misc & branded queries,Things to do block,246000,0%,-18%,Medium,246000,550000,246000,450000,301000,201000,201000,201000,201000,165000,135000,165000
barcelona beach city,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
barcelona beachfront,City PDP,Barcelona,Misc & branded queries,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
barcelona city beach,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
barcelona city to beach,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
barcelona restaurants,City PDP,Barcelona,Food & drink,Things to do block,74000,22%,-18%,Low,90500,90500,90500,74000,74000,74000,74000,60500,60500,60500,60500,74000
barcelona stuff to do,City PDP,Barcelona,Misc & branded queries,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
barcelona things to,City PDP,Barcelona,Misc & branded queries,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
barcelona to the beach,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
barcelona what to see,City PDP,Barcelona,Misc & branded queries,City attractions block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
beaches from barcelona,City PDP,Barcelona,Beaches & water,Nearby block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
beaches in barcelona city,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
beaches in barcelona spain,City PDP,Barcelona,Beaches & water,Things to do block,74000,22%,-18%,Low,90500,110000,135000,110000,110000,60500,49500,40500,40500,60500,60500,74000
stuff to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to do in barca,City PDP,Barcelona,Activities & experiences,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to do in barcelona city,City PDP,Barcelona,Activities & experiences,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to do see in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to do spain barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
things to see and do in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,74000,0%,-33%,High,110000,110000,90500,90500,74000,74000,74000,49500,49500,74000,60500,74000
picasso in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,60500,22%,-18%,Medium,74000,74000,60500,60500,60500,60500,74000,49500,49500,49500,49500,60500
montserrat barcelona,City PDP,Barcelona,Nature & outdoors,Nearby block,49500,22%,0%,High,49500,49500,49500,49500,49500,49500,49500,40500,33100,40500,40500,49500
museu d art contemporani de barcelona,City PDP,Barcelona,Art & culture,City attractions block,49500,0%,0%,Low,49500,49500,49500,60500,49500,60500,60500,60500,49500,49500,49500,49500
picasso museu barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,49500,0%,-18%,Low,60500,60500,49500,60500,60500,60500,60500,40500,40500,49500,49500,49500
steak barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,40500,0%,50%,Low,33100,33100,27100,33100,40500,33100,40500,49500,60500,49500,49500,49500
steak restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,40500,0%,50%,Low,33100,33100,27100,33100,40500,33100,40500,49500,60500,49500,49500,49500
tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,40500,22%,-18%,Low,49500,49500,49500,49500,49500,40500,40500,33100,33100,33100,33100,40500
tapas in barcelona,City PDP,Barcelona,Food & drink,Things to do block,40500,22%,-18%,Low,49500,49500,49500,49500,49500,40500,40500,33100,33100,33100,33100,40500
barcelona recommended restaurants,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best barcelona restaurants,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best dining barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best meal in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best restaurants barcelone,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
best spanish restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
good restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
great restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
hottest restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
top restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
top restaurants barcelona spain,City PDP,Barcelona,Food & drink,Things to do block,33100,22%,-33%,Medium,49500,49500,49500,40500,40500,40500,33100,22200,18100,27100,27100,33100
barcelona shop in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,27100,22%,-18%,Medium,27100,60500,22200,49500,33100,22200,18100,22200,18100,14800,12100,18100
bcn metro,City PDP,Barcelona,Getting there & local transport,How to get block,27100,-18%,-70%,Low,60500,33100,49500,22200,40500,33100,22200,22200,14800,14800,12100,12100
whatto do in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,27100,0%,-33%,High,33100,33100,27100,27100,27100,27100,22200,18100,14800,22200,22200,22200
areas to visit in barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
attraction in barcelona spain,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
attraction places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
attractions to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
barcelona city attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
barcelona places to go,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona places to see,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona sightseeing places,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona sites of interest,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona sites to see,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona sites to visit,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
barcelona spain tourist sites,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-33%,High,27100,33100,27100,27100,22200,22200,22200,14800,14800,18100,14800,18100
barcelona spots to visit,City PDP,Barcelona,Misc & branded queries,City attractions block,22200,0%,-45%,High,33100,33100,22200,22200,22200,22200,22200,18100,14800,18100,18100,18100
