Page type,URL Example,Search intent,Target keywords
Homepage,https://tourism-tickets.com/,"Understand what the site offers at a glance (trip planning help across destinations, itineraries, and guides), build basic trust, and route visitors toward major hubs (Destinations, Itineraries, Travel guides) or a featured geography.",things to do tickets; trip planning; travel guides; vacation ideas; best places to visit; tourism tickets
About us,https://tourism-tickets.com/about-us/,"Evaluate credibility and transparency (who publishes content, editorial standards, update cadence, contact/disclosure). Typically navigational/brand-driven rather than primary SEO acquisition.",who we are; editorial standards; how we review attractions; contact; about tourism tickets
Destinations (CLP),https://tourism-tickets.com/destinations/,"Early-stage exploration: compare countries/regions, scan entry points, and jump into Region PLPs or Country PLPs without committing to a city yet.",travel destinations; best countries to visit; where to travel; holiday destinations; places to visit around the world
Region (PLP),https://tourism-tickets.com/europe/,"Inspiration scoped to a multi-country geography: trip styles (city breaks, multi-city loops), seasonality at regional level, and onward paths into Country PLPs and thematic hubs.",europe holidays; city breaks europe; europe trip itinerary; backpacking europe; cheap europe trips; schengen travel tips
Country (PLP),https://tourism-tickets.com/spain/,"Decide whether the country fits the trip: regional highlights, best times to visit, typical trip lengths, and prioritized links into City PDPs from your matrix (not full day-by-day schedules—those belong under itineraries).",best places to visit in spain; tourist places in spain; spain travel guide; spain itinerary; cheap places to visit in spain; pattern equivalents for matrix countries: best places to visit in italy; tourist places in france; usa itinerary; usa trip itinerary; canada travel guide; australia holidays; germany itinerary
City (PDP),https://tourism-tickets.com/spain/barcelona/,"Plan at city granularity: neighborhoods and signature sights, transport basics, seasonality, side-trip ideas. Mention common durations only as orientation and link prominently to matching Itineraries (PDP) for true day-by-day schedules; avoid duplicating a full calendar here when an itinerary page exists.",things to do in barcelona; barcelona travel tips; best time to visit barcelona; how many days in barcelona; extend across cities: things to do in new york; cheap things to do in paris; rome in 3 days; dubai travel guide; weekend in lisbon; vancouver first time visitor
Itineraries (CLP),https://tourism-tickets.com/itineraries/,"Discover route templates before picking a place or duration: browse by trip archetype (multi-city, road trip, country-first) and reach relevant Itineraries (PLPs).",trip itinerary; vacation itinerary; travel itinerary examples; multi city itinerary; road trip itinerary; country itineraries
Itineraries (PLP),https://tourism-tickets.com/itineraries/italy/,"Country-scoped route shopping: browse durations and styles (10 days, one week, north vs south), compare headline routes, and open Itineraries (PDPs). Keep long destination guide copy thin—defer thematic lists to Travel guides unless framed strictly around sequencing.",italy itineraries; italy itinerary 10 days; italy itinerary 7 days; extend per CSV countries: spain itinerary 10 days; france itinerary 1 week; switzerland itineraries; switzerland itinerary 10 days; switzerland 2 week itinerary; uk itinerary; germany road trip itinerary; portugal itinerary 7 days
Itineraries (PDP),https://tourism-tickets.com/itineraries/italy-10-days/,"Execute logistics with an ordered schedule (day-by-day or clear staged legs), movement between stops, pacing, and weather backups; cross-link to City PDP anchors for deeper local detail instead of repeating entire attraction essays.",italy itinerary 10 days; 10 days in italy; italy 10 day route; rome florence venice 10 days; variants: spain itinerary 7 days; california coast road trip 10 days; new york and washington dc itinerary; scandinavia trip itinerary
Travel guides (CLP),https://tourism-tickets.com/travel-guides/,"Entry to thematic problem-solving (budget, packing, insurance, planning checklists) and discovery by geography/topic before drilling into Travel guides (PLPs) and PDP articles.",travel tips; budget travel tips; international travel checklist; travel insurance guide; packing list; how to plan a trip
Travel guides (PLP),https://tourism-tickets.com/travel-guides/europe/ or https://tourism-tickets.com/travel-guides/spain/,"Blog-style article index for that geography: curated grid/list of Travel guides (PDPs) with filters/tags (budget, season, transport, family). Short hub intro; avoid publishing competing multi-day calendars—point those queries to Itineraries (PLP/PDP).",Region hub: cheap places to visit in europe; best time to visit europe; europe travel tips; Country hub (matrix): cheap places to visit in spain; cheap places to visit in france; cheap places to visit in italy; best time to visit germany; france travel tips; netherlands travel tips; uae travel tips
Travel guides (PDP),https://tourism-tickets.com/travel-guides/europe/cheap-places-to-visit-in-europe/,"Answer one specific informational query with a crisp lead, structured sections, and refreshable facts; internal links to City/Country hubs for where to go next, and to Itineraries only when the reader needs an ordered plan rather than a topic answer.",cheap places to visit in europe; cheap places to visit in italy; budget europe destinations; best time to visit spain; is dubai expensive; weather in norway in december; lisbon vs porto which is better; tipping in usa
